Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Brazil,BRA,"Population, total",SP.POP.TOTL,149003223,174790340,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,..
Brazil,BRA,Population growth (annual %),SP.POP.GROW,1.81151817880662,1.42416743408748,0.937956737505973,0.915962656318059,0.893531057922595,0.873603191241425,0.855792022891126,0.838848282593092,0.823748231993439,0.807147162261819,0.783847578971981,..
Brazil,BRA,Surface area (sq. km),AG.SRF.TOTL.K2,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,..
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,17.8273183985911,20.9125882074241,23.4159316546504,23.6313981340346,23.8434981945744,24.0527082580574,24.2594327206771,24.4637884744692,24.6661407920901,24.8660384966033,25.0617162430876,..
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,407396519747.758,687360261722.071,1890905731755.23,2188200142541.01,2463186549163.9,2575918819753.08,2454068652465.94,2078344853713.95,1840498429566.02,1802952678568.27,1915275143717.53,..
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2730,3930,9660,11080,12360,12810,12100,10160,8930,8670,9140,..
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,973373953038.514,1540368765613.1,2720411708683,2897463027103.88,3024656029489.04,3199962919896.06,3251231997139.54,3163684993443.51,3094875614934.33,3194803975798.16,3314554681344.12,..
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6530,8810,13900,14670,15180,15920,16030,15470,15010,15370,15820,..
Brazil,BRA,Income share held by lowest 20%,SI.DST.FRST.20,2.3,..,..,3.3,3.4,3.4,3.7,3.6,3.2,3.2,..,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.343,70.116,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,..,..
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.902,2.3,1.796,1.781,1.771,1.764,1.758,1.753,1.747,1.739,..,..
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,82.9406,82.21,66.8926,65.4728,64.053,63.0646,62.0762,61.0878,60.0994,59.111,..,..
Brazil,BRA,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,80.2,..,..,..,..,..,..
Brazil,BRA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,98.6,98.9,99,99,99.1,99.1,99.2,..,..,..,..
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,63,34.8,18.7,17.9,17.3,16.7,16.2,15.7,16.3,14.8,14.4,..
Brazil,BRA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,132.4966,134.5204,113.9198,114.2547,112.7733,113.9454,115.4478,..,..
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,95.26338,92.99245,102.0686,100.838,100.0671,101.5363,100.8277,..,..
Brazil,BRA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,1.02593,1.02894,1.02651,1.03266,1.01545,1.01698,1.00377,..,..
Brazil,BRA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.2,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,..
Brazil,BRA,Forest area (sq. km),AG.LND.FRST.K2,5467050,5212740,4984580,4974740,4964900,4955060,4945220,4935380,4925540,..,..,..
Brazil,BRA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,20.7372842292403,28.5782526119273,28.5782526119273,..
Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,1.32096802685038,..,1.32096802685038,..,..,..,..,..
Brazil,BRA,Urban population growth (annual %),SP.URB.GROW,2.87639317515564,2.28508990938028,1.28360570617036,1.26632924617998,1.23796437590341,1.20981350606531,1.18736581920793,1.16349738495069,1.14037359422221,1.11698034638051,1.08463813215672,..
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,940.965867563818,1072.37953767926,1358.5024160427,1367.18809766171,1413.73335709267,1461.07678089719,1495.54120710984,..,..,..,..,..
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.4018957697311,1.87644130676787,2.14473639509072,2.22471194448911,2.35854836426703,2.50540878760348,2.61293352087838,..,..,..,..,..
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1460.76034878789,1897.35313747888,2374.11665262872,2430.8033959668,2501.47405281669,2568.82970799499,2619.96061573831,..,..,..,..,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,461951782000,655420645476.906,2208871646202.82,2616201578192.25,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32,1796275437087.99,2053594973992.61,1868626087908.48,..
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.10235594875007,4.38794944267383,7.52822583005563,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.30545431266852,1.06386125924512,1.11757918028799,..
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2700.44214011056,5.60606514569551,8.42333832793074,8.3185922188201,7.9431269413538,7.50454436934274,7.84674863327621,7.5661563986378,8.10000829597706,3.47281059925386,3.02544094379658,..
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.87330085891951,4.75045997570861,4.11575648758173,4.34203412773382,4.1683282240444,4.50688702754023,4.32560979028385,4.31914942942436,4.89301052063879,4.63470569099687,4.36127937311958,..
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,32.8306185471106,23.0066186321239,23.267977354744,23.1020509635585,22.1336473676777,21.2248139307805,20.4724592028246,19.3600439775462,18.352790438481,18.3532311195126,18.4428162061965,..
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,8.19999001540815,10.1880480043795,10.8655847746965,11.5825126782808,11.8775390673678,11.742232845639,11.0119409152591,12.9001914177405,12.4709021006972,12.5734550095265,14.8053442461215,..
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,6.9617655463444,12.4517133524146,11.9065933373084,12.3518924993294,13.2367345412855,14.0437293144408,13.6734606297264,14.0534345199388,12.0710907015169,11.5710240388731,14.2767138487893,..
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,20.166606912234,18.9031192683871,21.8013215651568,21.8262711070469,21.4172253653349,21.6937710091008,20.5484072031028,17.4116258632937,14.9746178719222,15.0356329179689,15.422724055032,..
Brazil,BRA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,22.7527878853185,19.5546641476175,28.2927992220695,28.3873449016797,28.8879978974381,27.859066498725,26.52264688778,28.5200949461167,28.8902142221448,27.1817527990553,..,..
Brazil,BRA,Time required to start a business (days),IC.REG.DURS,..,..,..,..,..,86.6,83.6,86,82.5,82.5,20.1,16.6
Brazil,BRA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,87.6272265457905,70.6812450382375,93.3887029495729,95.1554468543532,101.064049187409,100.045957422747,103.440518968876,107.063168960991,111.185414793342,111.364247302995,113.709350765773,..
Brazil,BRA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.0091242848293,13.7748558448485,13.623447382748,14.2201231457951,13.6514575347955,13.4416927830225,12.7616846849996,12.8248632636748,12.7729481529037,12.7047397240845,..,..
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.36384102519699,1.73072614713627,1.53940698128362,1.41185115924524,1.37865646470437,1.3294461087607,1.330244423168,1.36551715396161,1.35015057288696,1.41952663807017,1.47490154739588,..
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,12.0523401660687,10.5755774758681,11.2727771557656,10.431530300605,11.3634462941607,13.1387713190622,14.3371583972761,13.3129032206298,12.9506134545756,..
Brazil,BRA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,..,..,83.3333333333333,84.4444444444444,78.8888888888889,75.5555555555556,75.5555555555556,72.2222333333333,76.6666666666667,74.4444333333333,80,..
Brazil,BRA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,11.6756774411577,17.3570974282055,17.8123523237019,18.8442665928157,19.3078933446319,19.9202812166963,18.903018106737,20.5284124569469,18.2931856226181,18.2786286854903,22.9258813612893,..
Brazil,BRA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,66.44295302,100,124.4458032,134.1584343,126.330954,123.7563749,119.5613109,106.4118384,109.6415083,115.9903352,114.8827283,..
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,120311895094.7,242511685521.8,352364412862.6,404046105342.1,440515187632.7,483765362833.9,556919645475.4,543397354634.3,543257223431.4,542979659110.9,557822647211.2,..
Brazil,BRA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,22.6383320676081,87.0046232489443,18.3752189034516,18.7304465826475,15.6603007623962,28.0022486784635,22.8975850890091,39.7318229702261,50.9592737097208,34.708387299173,31.7447689220221,..
Brazil,BRA,Net migration,SM.POP.NETM,..,..,..,..,15924,..,..,..,..,106000,..,..
Brazil,BRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,573000000,1349591000,3082801866.11,3214602242.94,2784072055.49,2717675068.66,2647908513.04,2896909951.71,2739786526.59,2698770651.24,2933489276.49,..
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,989000000,32994718699.75,82389933624.1,102427229784.41,92568379494.5,75211028087.44,87713987796.95,60334050667.77,73377909022.23,70257759617.82,88324149805.23,..
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.475116,94.3932952880859,98.8462677001953,99.328691,99.519494,99.575151,99.650247,99.710902,99.7,100,..,..
Brazil,BRA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,58.9484321450143,74.3799391888103,94.1143729680585,96.1905873870837,97.2218134003495,97.5020335050058,97.9100769987215,98.2324092295465,98.4671299664193,100,..,..
Brazil,BRA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.538681,99.0293579101563,99.7252044677734,99.898571,99.927418,99.935013,99.945554,99.956197,99.9,100,..,..
Brazil,BRA,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,73.084204,78.8951482,83.0251928,83.3413104,83.657428,83.9189164,84.1804048,84.4418932,84.7033816,84.96487,..,..
Brazil,BRA,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,59.3869886,64.9104174,70.2457144,70.7755472,71.30538,71.6245066,71.9436332,72.2627598,72.5818864,72.901013,..,..
Brazil,BRA,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,7.6,8.7,..,..,..,..,9.9,10,..,..,..
Brazil,BRA,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,2,2.8,..,..,..,..,3.2,3.1,..,..,..
Brazil,BRA,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..,4.8,5.7,..,..,..,..,6.5,6.5,..,..,..
Brazil,BRA,Poverty gap at national poverty lines (%),SI.POV.NAGP,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,30.7,..,..,9.6,8,7.7,6.5,7.3,8.4,8.7,..,..
Brazil,BRA,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,17.6,..,..,4.1,3.4,3.3,2.5,2.9,3.7,4,..,..
Brazil,BRA,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,8.7,..,..,1.9,1.5,1.5,1,1.2,1.6,1.8,..,..
Brazil,BRA,Number of deaths ages 5-14 years,SH.DTH.0514,15834,11698,9920,..,..,..,..,8243,..,..,7339,..
Brazil,BRA,Number of infant deaths,SH.DTH.IMRT,193594,106963,50212,47840,45908,44283,42845,41509,43063,38792,37421,..
Brazil,BRA,Number of neonatal deaths,SH.DTH.NMRT,93795,64161,33531,31936,30610,29641,28826,27783,28437,24944,23715,..
Brazil,BRA,Number of under-five deaths,SH.DTH.MORT,233307,122570,56386,53673,51460,49612,47983,46479,48237,43455,41940,..
Brazil,BRA,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,25.3,18.3,11.2,10.7,10.3,10,9.7,9.4,9.6,8.5,8.1,..
Brazil,BRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,52.5,30.4,16.7,16,15.4,14.9,14.5,14,14.6,13.2,12.8,..
Brazil,BRA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,289.956,247.531,207.604,204.383,201.161,198.648,196.135,193.622,191.109,188.596,..,..
Brazil,BRA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,158.83,125.46,102.251,100.77,99.288,97.893,96.498,95.103,93.708,92.313,..,..
Brazil,BRA,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..,..,..,..,..,..,..,..,1,..,..,..
Brazil,BRA,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,..,29.2,23,..,..,..,..,20.5,20,..,..,..
Brazil,BRA,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,..,20,15.4,..,..,..,..,13.8,13.5,..,..,..
Brazil,BRA,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,..,24.4,19,..,..,..,..,17,16.6,..,..,..
Brazil,BRA,"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,..,..,..,..,..,23.4,..,..,19.7,..,..,..
Brazil,BRA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.066,66.421,69.95,70.265,70.56,70.838,71.099,71.345,71.578,71.804,..,..
Brazil,BRA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,69.823,74.003,77.378,77.658,77.929,78.193,78.45,78.698,78.934,79.156,..,..
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,2.870685159,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,67.47128452,..,..
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.84187100023273,2.91182644263147,6.52437280430098,3.02640456781005,1.01453521432917,2.10888840464017,-0.352479217688355,-4.35148398862317,-4.0987022546979,0.251410418805705,0.328069801440051,..
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3100.28046842987,3749.75324996168,11286.2430162457,13245.615526158,12370.0242007149,12300.3225752233,12112.5903019529,8814.00098681261,8712.88704442864,9880.94654326324,8920.76210462979,..
Brazil,BRA,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,..,..,8.8,..,..,..,..,..,7.8,..,..,..
Brazil,BRA,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,..,..,3,..,..,..,..,..,2.4,..,..,..
Brazil,BRA,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,..,..,15,..,..,..,..,..,13.4,..,..,..
Brazil,BRA,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,..,25.2,17.2,16.7,16,15.5,14.9,14.3,13.9,..,..,..
Brazil,BRA,"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA,..,30.6,21.8,21.1,20.3,19.7,19.1,18.4,17.9,..,..,..
Brazil,BRA,"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,..,20.1,12.9,12.5,11.9,11.5,11,10.5,10.1,..,..,..
Brazil,BRA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,11.9,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Brazil,BRA,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,74077776,86581634,96536268,97385183,98220333,99043431,99855748,100657521,101450193,102232091,102996245,..
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,74925447,88208706,99177367,100129351,101066963,101992472,102907987,103814248,104712865,105601740,106473088,..
Brazil,BRA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.2844471990455,50.4654350490161,50.6747355576454,50.6946751834337,50.7142025894958,50.7334615213808,50.752659213079,50.7719224932182,50.7912843511594,50.8106594294745,50.8299167629894,..
Brazil,BRA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.7155528009545,49.5345649509839,49.3252644423546,49.3053248165663,49.2857974105042,49.2665384786192,49.247340786921,49.2280775067818,49.2087156488406,49.1893405705255,49.1700832370106,..
Brazil,BRA,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,9.83644969330047,10.0603676247146,8.52704822737381,8.44871516449896,8.38967939285322,8.33600632470202,8.26598385089469,8.16637173764298,8.04144465000976,7.89208609324295,7.72358038554365,..
Brazil,BRA,Number of maternal deaths,SH.MMR.DTHS,..,2400,1900,1800,1800,1800,1800,1900,1800,1700,..,..
Brazil,BRA,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,49.3762692196113,35.0237764485003,36.1869860449535,36.3154561719772,35.3303656791468,36.3888313097608,34.0908646326718,35.391513669516,35.3915136697171,35.3915136690807,..,..
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,64.8,58.2,..,..,..,..,..,..,..
Brazil,BRA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,69,65,61,60,61,62,63,62,60,..,..
Brazil,BRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.948,6.189,6.045,6.071,6.106,6.147,6.195,6.25,6.311,6.378,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/28/2019,,,,,,,,,,,,,,,
